mth  paid  int       prin      outstanding 
153  3000  1371.39   1628.61   265958.76 
154  3000  1363.04   1636.96   264321.80 
155  3000  1354.65   1645.35   262676.45 
156  3000  1346.22   1653.78   261022.67 
157  3000  1337.74   1662.26   259360.41 
158  3000  1329.22   1670.78   257689.63 
159  3000  1320.66   1679.34   256010.29 
160  3000  1312.05   1687.95   254322.34 
161  3000  1303.40   1696.60   252625.75 
162  3000  1294.71   1705.29   250920.45 
163  3000  1285.97   1714.03   249206.42 
164  3000  1277.18   1722.82   247483.60 
165  3000  1268.35   1731.65   245751.96 
166  3000  1259.48   1740.52   244011.44 
167  3000  1250.56   1749.44   242261.99 
168  3000  1241.59   1758.41   240503.59 
169  3000  1232.58   1767.42   238736.17 
170  3000  1223.52   1776.48   236959.69 
171  3000  1214.42   1785.58   235174.11 
172  3000  1205.27   1794.73   233379.38 
173  3000  1196.07   1803.93   231575.45 
174  3000  1186.82   1813.18   229762.27 
175  3000  1177.53   1822.47   227939.80 
176  3000  1168.19   1831.81   226107.99 
177  3000  1158.80   1841.20   224266.80 
178  3000  1149.37   1850.63   222416.16 
179  3000  1139.88   1860.12   220556.05 
180  3000  1130.35   1869.65   218686.40 
181  3000  1120.77   1879.23   216807.16 
182  3000  1111.14   1888.86   214918.30 
183  3000  1101.46   1898.54   213019.76 
184  3000  1091.73   1908.27   211111.48 
185  3000  1081.95   1918.05   209193.43 
186  3000  1072.12   1927.88   207265.55 
187  3000  1062.24   1937.76   205327.78 
188  3000  1052.30   1947.70   203380.09 
189  3000  1042.32   1957.68   201422.41 
190  3000  1032.29   1967.71   199454.70 
191  3000  1022.21   1977.79   197476.91 
192  3000  1012.07   1987.93   195488.97 
193  3000  1001.88   1998.12   193490.86 
194  3000  991.64    2008.36   191482.50 
195  3000  981.35    2018.65   189463.84 
196  3000  971.00    2029.00   187434.85 
197  3000  960.60    2039.40   185395.45 
198  3000  950.15    2049.85   183345.60 
199  3000  939.65    2060.35   181285.25 
200  3000  929.09    2070.91   179214.33 
201  3000  918.47    2081.53   177132.81 
202  3000  907.81    2092.19   175040.61 
203  3000  897.08    2102.92   172937.70 
204  3000  886.31    2113.69   170824.00 
205  3000  875.47    2124.53   168699.48 
206  3000  864.58    2135.42   166564.06 
207  3000  853.64    2146.36   164417.70 
208  3000  842.64    2157.36   162260.34 
209  3000  831.58    2168.42   160091.93 
210  3000  820.47    2179.53   157912.40 
211  3000  809.30    2190.70   155721.70 
212  3000  798.07    2201.93   153519.77 
213  3000  786.79    2213.21   151306.56 
214  3000  775.45    2224.55   149082.01 
215  3000  764.05    2235.95   146846.05 
216  3000  752.59    2247.41   144598.64 
217  3000  741.07    2258.93   142339.71 
218  3000  729.49    2270.51   140069.20 
219  3000  717.85    2282.15   137787.05 
220  3000  706.16    2293.84   135493.21 
221  3000  694.40    2305.60   133187.61 
222  3000  682.59    2317.41   130870.20 
223  3000  670.71    2329.29   128540.91 
224  3000  658.77    2341.23   126199.68 
225  3000  646.77    2353.23   123846.45 
226  3000  634.71    2365.29   121481.17 
227  3000  622.59    2377.41   119103.76 
228  3000  610.41    2389.59   116714.17 
229  3000  598.16    2401.84   114312.33 
230  3000  585.85    2414.15   111898.18 
231  3000  573.48    2426.52   109471.65 
232  3000  561.04    2438.96   107032.70 
233  3000  548.54    2451.46   104581.24 
234  3000  535.98    2464.02   102117.22 
235  3000  523.35    2476.65   99640.57  
236  3000  510.66    2489.34   97151.23  
237  3000  497.90    2502.10   94649.13  
238  3000  485.08    2514.92   92134.20  
239  3000  472.19    2527.81   89606.39  
240  3000  459.23    2540.77   87065.62  
241  3000  446.21    2553.79   84511.84  
242  3000  433.12    2566.88   81944.96  
243  3000  419.97    2580.03   79364.93  
244  3000  406.75    2593.25   76771.67  
245  3000  393.45    2606.55   74165.13  
246  3000  380.10    2619.90   71545.22  
247  3000  366.67    2633.33   68911.89  
248  3000  353.17    2646.83   66265.07  
249  3000  339.61    2660.39   63604.67  
250  3000  325.97    2674.03   60930.65  
251  3000  312.27    2687.73   58242.92  
252  3000  298.49    2701.51   55541.41  
253  3000  284.65    2715.35   52826.06  
254  3000  270.73    2729.27   50096.80  
255  3000  256.75    2743.25   47353.54  
256  3000  242.69    2757.31   44596.23  
257  3000  228.56    2771.44   41824.78  
258  3000  214.35    2785.65   39039.14  
259  3000  200.08    2799.92   36239.21  
260  3000  185.73    2814.27   33424.94  
261  3000  171.30    2828.70   30596.24  
262  3000  156.81    2843.19   27753.05  
263  3000  142.23    2857.77   24895.28  
264  3000  127.59    2872.41   22022.87  
265  3000  112.87    2887.13   19135.74  
266  3000  98.07     2901.93   16233.81  
267  3000  83.20     2916.80   13317.01  
268  3000  68.25     2931.75   10385.26  
269  3000  53.22     2946.78   7438.48   
270  3000  38.12     2961.88   4476.60   
271  3000  22.94     2977.06   1499.54   
272  3000  7.69      2992.31   -1492.77  
